,Energia Down,Energia Up,Day-ahead Forecast Wind,DA Forecast PV,DA Forecast Consumo,DAToda a Geração,DA Tie Lines Balance,DA Traded Wind,DA Traded PV
4279,250.2,4.9,1609.0,2391.6,35076.0,32009.2,1951.3,1520.0,2338.4
4280,19.9,451.0,2083.0,2867.9,35946.0,32923.7,1840.2,1777.1,2921.3
4281,277.1,4.6,2708.0,3200.9,36871.0,33575.8,2146.7,2078.4,3230.8
4282,172.3,57.4,3314.0,3397.4,37264.0,33985.2,2131.4,2460.9,3382.3
4283,28.4,172.9,3986.0,3402.1,36655.0,33794.1,1412.2,2963.9,3399.3
4284,177.2,115.0,4348.0,3286.2,36087.0,33329.6,1002.1,3449.5,3287.2
4285,248.0,82.3,4492.0,3030.7,35965.0,33178.8,951.6,3909.3,3037.0
4286,57.3,188.5,4588.0,2636.0,35758.0,32855.3,1063.6,4211.8,2605.1
4287,226.3,33.2,4842.0,2047.2,35078.0,32003.4,1357.1,4385.9,2014.4
4288,342.2,0.0,4798.0,1308.0,34657.0,31458.1,1576.4,4327.2,1281.2
4289,230.6,50.2,4573.0,491.7,33549.0,30855.0,1779.2,4250.5,525.8
4290,15.2,269.1,4439.0,45.8,32645.0,30312.3,1970.7,4250.2,100.7
4291,36.4,146.4,4509.0,0.3,32122.0,29530.4,2095.5,4168.5,14.5
4292,413.4,4.2,4606.0,0.0,30173.0,27401.7,1964.7,4128.6,14.2
4293,618.7,3.8,4533.0,0.0,28987.0,25444.8,2268.0,4846.1,7.4
4294,395.7,116.3,4359.0,0.0,27387.0,24140.8,1814.5,4462.7,7.4
4295,215.7,32.8,3854.0,0.0,26024.0,23509.9,1042.9,4133.3,7.4
4296,315.4,4.5,3242.0,0.0,25076.0,22695.4,999.1,3597.1,7.4
4297,28.4,41.5,2586.0,0.0,24570.0,22046.6,1101.3,3227.1,7.4
4298,35.3,327.9,2135.0,0.0,24232.0,21659.3,1098.7,2867.4,7.4
4299,70.0,71.7,1905.0,11.6,24004.0,21954.8,1025.2,2294.1,26.9
4300,263.1,11.7,1700.0,247.1,24490.0,22247.2,1507.7,1919.9,266.8
4301,310.6,5.0,1331.0,904.5,26472.0,23614.6,2227.3,1631.9,959.5
4302,126.0,16.1,1016.0,1742.8,28904.0,25713.5,2293.4,1263.6,1786.4
4303,473.4,10.0,1025.0,2476.9,30746.0,27245.4,2092.0,1269.1,2501.9
4304,56.6,158.5,1285.0,2955.5,31642.0,28292.5,1993.2,1440.4,2991.4
4305,279.9,5.5,1686.0,3238.3,32299.0,29027.4,1961.3,1656.7,3296.8
4306,307.3,8.0,2112.0,3400.9,32873.0,29465.8,1908.9,2006.7,3452.0
4307,2.6,171.4,2426.0,3384.3,32654.0,29223.4,1747.5,2366.6,3452.2
4308,195.2,17.8,2521.0,3232.5,31966.0,28796.5,1501.4,2653.4,3331.0
4309,17.4,168.2,2428.0,2969.2,31401.0,28401.8,1499.3,2799.4,3063.3
4310,73.5,37.6,2447.0,2591.9,31107.0,27965.4,1624.5,2833.4,2609.6
4311,26.0,128.1,2624.0,2004.2,30850.0,27613.8,1708.9,3005.4,2001.3
4312,24.7,277.6,2798.0,1248.0,30940.0,27227.3,1823.1,3261.8,1274.6
4313,67.3,91.2,3090.0,492.4,30774.0,26870.0,2036.9,3798.4,526.3
4314,254.4,68.2,3606.0,71.5,30394.0,26950.8,2341.9,4396.1,97.6
4315,490.9,0.0,4659.0,0.3,30505.0,26933.4,2362.9,4944.8,14.5
4316,544.4,1.1,5058.0,0.0,29106.0,25481.6,2156.7,5113.5,14.2
4317,188.1,14.4,5067.0,0.0,27043.0,23528.2,1985.5,5176.1,7.4
4318,296.5,28.9,4968.0,0.0,25466.0,22903.6,974.6,4812.5,7.4
4319,546.9,7.3,4277.0,0.0,24171.0,22264.1,434.5,4555.2,7.4
4320,75.7,11.0,3821.0,0.0,23299.0,21335.9,460.5,4349.2,7.4
4321,55.4,122.7,3382.0,0.0,22786.0,20807.0,413.5,3916.5,7.4
4322,60.9,41.6,3049.0,0.0,22456.0,20498.3,407.5,3442.8,7.4
4323,250.9,6.0,2864.0,10.3,22090.0,20390.0,461.1,3223.0,24.1
4324,187.1,41.3,2666.0,239.1,21866.0,20349.5,515.5,2718.3,250.5
4325,247.5,6.5,2175.0,889.2,23001.0,21413.9,683.5,2408.5,910.0
4326,43.6,76.1,1864.0,1696.8,24964.0,23035.3,642.6,1976.6,1713.7
4327,136.1,352.6,1736.0,2394.1,26738.0,24895.0,450.9,1937.6,2403.3
4328,12.8,287.2,2047.0,2859.9,27954.0,25935.4,317.6,2113.3,2879.8
4329,76.2,101.2,2594.0,3093.4,28774.0,26842.3,114.2,2456.4,3186.3
4330,122.5,61.2,3153.0,3217.0,29593.0,27549.1,101.2,3036.8,3338.3
4331,2.2,266.0,3661.0,3298.9,29939.0,27802.0,121.6,3544.0,3336.4
4332,386.3,1.8,4060.0,3206.4,29238.0,27363.0,265.1,4057.8,3212.0
4333,30.5,167.0,4143.0,2968.0,28745.0,27126.3,52.6,4397.4,2946.0
4334,225.9,14.3,4205.0,2574.8,28433.0,26858.5,34.9,4662.2,2496.6
4335,98.5,24.5,4469.0,1992.8,28461.0,26240.8,707.6,4871.7,1895.4
4336,83.2,90.9,4848.0,1259.7,28845.0,26177.9,929.8,5309.2,1189.9
4337,500.7,49.4,4864.0,491.1,29167.0,26014.7,1212.2,5383.5,486.7
4338,181.0,1.1,4743.0,70.0,29606.0,26270.7,1683.6,5354.1,89.1
4339,83.3,144.4,4738.0,0.4,30215.0,25976.1,2682.7,5246.4,14.4
4340,510.1,0.9,4842.0,0.0,28573.0,25258.1,1563.6,5202.9,14.2
4341,26.3,449.6,5156.0,0.0,27198.0,24558.0,813.8,5851.0,7.4
4342,438.2,2.0,5523.0,0.0,25461.0,23404.4,647.3,5468.9,7.4
4343,238.6,19.0,5186.0,0.0,24239.0,22741.8,193.6,5290.8,7.4
4344,238.2,11.2,4822.0,0.0,23685.0,22073.0,222.1,5280.3,7.4
4345,16.9,76.4,4997.0,0.0,23549.0,21851.5,211.2,5144.7,7.4
4346,67.0,44.1,4903.0,0.0,24107.0,22059.1,346.9,4914.7,7.4
4347,413.3,14.9,4476.0,10.3,26275.0,23018.5,1297.8,4769.6,24.9
4348,292.4,52.2,4326.0,248.5,29001.0,24861.9,1665.3,4178.5,254.6
4349,689.7,2.0,3993.0,955.7,31615.0,27294.2,1858.6,3763.8,933.2
4350,240.3,183.0,3626.0,1666.0,33811.0,30016.4,1195.1,3561.3,1773.1
4351,518.9,0.0,3413.0,2358.5,34915.0,31998.9,679.8,3389.2,2488.7
4352,430.0,3.9,3338.0,2839.8,35485.0,33014.2,592.6,3507.6,3010.9
4353,363.9,6.6,3364.0,3089.6,36491.0,33814.8,660.1,3700.7,3301.6
4354,58.3,219.9,3788.0,3296.5,37229.0,34236.3,854.6,4139.2,3446.9
4355,272.2,21.5,4448.0,3344.5,36766.0,34306.8,145.3,4696.9,3420.6
4356,69.1,124.1,5422.0,3205.8,36319.0,33765.0,-178.9,5235.1,3272.2
4357,135.6,2.9,6651.0,2962.9,36182.0,33774.9,-317.1,5757.6,2977.4
4358,247.4,68.6,7566.0,2543.1,36142.0,33577.8,-185.8,6379.7,2494.3
